Industry,Type,Year,Value
Refined Petroleum Products,FPEI,2011,9.8
Refined Petroleum Products,FDI,2011,21427.5
Retail Trade,FEI,2011,2520.5
Retail Trade,FDEI,2011,2490
Retail Trade,FPEI,2011,30.5
Retail Trade,FDI,2011,2619.2
Rubber & Plastic Products,FEI,2011,1315.8
Rubber & Plastic Products,FDEI,2011,1258.2
Rubber & Plastic Products,FPEI,2011,57.6
Rubber & Plastic Products,FDI,2011,1271.9
Semiconductor Devices,FEI,2011,16601.5
Semiconductor Devices,FDEI,2011,16509.2
Semiconductor Devices,FPEI,2011,92.3
Semiconductor Devices,FDI,2011,20856.5
Total,FEI,2011,663031.8
Total,FDEI,2011,597412
Total,FPEI,2011,65619.8
Total,FDI,2011,678908.5
Transport & Storage,FEI,2011,32881.8
Transport & Storage,FDEI,2011,32017.2
Transport & Storage,FPEI,2011,864.6
Transport & Storage,FDI,2011,34254.3
Transport Equipment,FEI,2011,4025.7
Transport Equipment,FDEI,2011,3853.3
Transport Equipment,FPEI,2011,172.4
Transport Equipment,FDI,2011,3910.8
"Warehousing, Post & Courier Services",FEI,2011,4297.2
"Warehousing, Post & Courier Services",FDEI,2011,4240.1
"Warehousing, Post & Courier Services",FPEI,2011,57.1
"Warehousing, Post & Courier Services",FDI,2011,4398.8
